Manager,Fund,1,2,3,4,5
30000000000000015075,001584,0.04 ,0.09 ,0.20 ,0.04 ,0.04 
30382111,001605,101.33 ,148.01 ,756.82 ,5406.90 ,5534.82 
30000000000000013638,001637,412.72 ,201.26 ,285.49 ,214.12 ,648.17 
30000000000000016030,001651,401.00 ,291.24 ,261.57 ,494.04 ,385.78 
30000000000000021919,001667,523.34 ,294.96 ,322.14 ,293.01 ,1208.00 
30000000000000016814,001668,276.60 ,331.78 ,361.72 ,2182.58 ,2092.63 
30000000000000021922,001679,8.36 ,7.52 ,456.93 ,3035.34 ,6477.92 
30378898,001701,57.18 ,19.73 ,35.29 ,143.98 ,336.84 
30391651,001710,612.22 ,506.24 ,1629.88 ,1258.96 ,2284.84 
30000000000000016161,001716,1.34 ,6.04 ,6.88 ,85.98 ,617.16 
30000000000000016564,001720,255.42 ,98.22 ,405.27 ,1136.23 ,722.76 
30382504,001725,2024.33 ,3145.91 ,2168.01 ,1640.83 ,2115.22 
30000000000000016842,001726,900.88 ,469.75 ,488.55 ,493.68 ,454.64 
30000000000000023475,001728,240.72 ,176.01 ,114.33 ,453.41 ,193.64 
30000000000000036697,001736,1026.35 ,1047.09 ,685.07 ,3122.29 ,5269.19 
30380233,001763,1870.39 ,1430.62 ,1187.01 ,704.00 ,1237.10 
30379284,001765,0.28 ,0.18 ,245.35 ,417.76 ,444.53 
30000000000000023275,001808,123.37 ,64.70 ,71.05 ,127.20 ,144.14 
30415976,001809,43.94 ,24.17 ,105.95 ,463.47 ,387.31 
30000000000000024384,001810,3057.79 ,3065.21 ,2377.22 ,1607.36 ,1892.78 
30000000000000021922,001837,3408.78 ,2320.77 ,2996.71 ,3740.58 ,3117.75 
30000000000000019278,001838,782.24 ,1130.49 ,1133.21 ,3652.24 ,4066.16 
30000000000000018234,001858,703.87 ,306.00 ,247.90 ,287.96 ,420.25 
30000000000000021922,001874,1170.32 ,40.31 ,131.88 ,686.67 ,1338.73 
30000000000000021922,001875,53.92 ,563.41 ,338.70 ,7355.12 ,11333.67 
30381067,001897,650.05 ,198.37 ,244.48 ,140.74 ,129.45 
30000000000000020174,001924,1111.81 ,611.25 ,634.22 ,479.88 ,355.29 
30000000000000021025,001927,617.89 ,1059.38 ,1098.08 ,1258.96 ,889.84 
30000000000000016757,001955,79.02 ,58.67 ,736.17 ,815.09 ,3942.35 
30382029,001965,678.60 ,313.08 ,162.87 ,95.43 ,60.22 
30000000000000021922,001986,1517.24 ,896.03 ,857.52 ,1189.39 ,1061.25 
30381784,001990,133.75 ,85.95 ,165.59 ,729.68 ,2281.15 
30000000000000016564,002006,459.98 ,144.15 ,450.17 ,2145.80 ,1025.29 
30000000000000015803,002015,558.08 ,702.76 ,616.82 ,766.67 ,674.72 
30382128,002027,1975.66 ,1454.73 ,1510.34 ,1448.98 ,916.05 
30000000000000019713,002031,863.47 ,727.53 ,791.76 ,969.30 ,1211.46 
30000000000000023671,002049,1031.91 ,1045.11 ,1321.73 ,798.68 ,702.99 
30000000000000018442,002064,43.65 ,46.68 ,37.60 ,302.23 ,608.17 
30000000000000015888,002095,341.78 ,346.38 ,244.44 ,361.64 ,460.97 
30000000000000018117,002155,9.56 ,26.05 ,88.52 ,57.74 ,0.38 
30000000000000013841,002156,2.14 ,1.39 ,268.02 ,435.68 ,332.49 
30000000000000021794,002160,199.93 ,155.68 ,265.65 ,589.94 ,389.42 
30000000000000014777,002161,98.70 ,14.46 ,362.41 ,921.92 ,228.85 
30000000000000021981,002220,352.74 ,125.90 ,114.33 ,816.80 ,989.39 
30000000000000017340,002222,208.54 ,124.83 ,324.31 ,668.18 ,661.63 
30000000000000013404,002227,612.77 ,799.90 ,1002.82 ,2804.58 ,1555.39 
30382517,002229,194.59 ,1106.77 ,1154.75 ,2327.51 ,1445.38 
30000000000000015052,002236,84.22 ,89.09 ,88.98 ,50.34 ,65.84 
30382308,002305,58.24 ,53.80 ,308.99 ,250.37 ,138.58 
30000000000000021448,002332,689.61 ,949.58 ,1014.02 ,1441.07 ,858.88 
30381341,002407,842.64 ,77.59 ,934.64 ,288.80 ,146.47 
