Manager,NAME,Uni,Frim,degree,major,DB
30000000000000021922,曲扬,中央财经大学,前海开源基金,硕士研究生,经济学,1
30000000000000021922,曲扬,中央财经大学,前海开源基金,硕士研究生,经济学,1
30381067,孟亚强,南开大学,九泰基金,硕士研究生,保险精算,1
30000000000000020174,郑晓辉,北京大学,华夏基金,博士研究生,金融学,1
30000000000000021025,黄文倩,复旦大学,华夏基金,硕士研究生,金融学,1
30000000000000016757,王健,内蒙古工业大学,中欧基金,硕士研究生,产业经济学,1
30382029,肖世源,复旦大学,圆信永丰基金,硕士研究生,中西医结合临床,0
30000000000000021922,曲扬,中央财经大学,前海开源基金,硕士研究生,经济学,1
30381784,曲径,卡内基梅隆大学,中欧基金,硕士研究生,计算金融,1
30000000000000016564,张洋,宾夕法尼亚大学,工银瑞信,博士研究生,电子工程,0
30000000000000015803,郑迎迎,中国人民大学,南方基金,硕士研究生,金融学,1
30382128,闫沛贤,英国帝国理工大学,中加基金,硕士研究生,"金融学,计算机",1
30000000000000019713,林晶,清华大学,华夏基金,硕士研究生,经济学,1
30000000000000023671,余志勇,武汉大学,融通基金,硕士研究生,金融学,1
30000000000000018442,陈启明,复旦大学,华富基金,硕士研究生,会计学,1
30000000000000015888,过钧,美国WAKEFOREST大学,博时基金,硕士研究生,工商管理,1
30000000000000018117,宫雪,中国科学院,国金基金,博士研究生,管理科学与工程,1
30000000000000013841,李琪,天津大学,长盛基金,博士研究生,管理学,1
30000000000000021794,应帅,北京大学,南方基金,硕士研究生,管理学,1
30000000000000014777,孙蓓琳,中山大学,银华基金,硕士研究生,经济学,1
30000000000000021981,陈乐,北京大学,南方基金,硕士研究生,金融学,1
30000000000000017340,刘宁,北京工业大学,嘉实基金,硕士研究生,光学,0
30000000000000013404,马强,北京大学,长城基金,硕士研究生,"计算机系统结构,理学",0
30382517,张帆,北京大学,华夏基金,硕士研究生,理学,0
30000000000000015052,夏高,清华大学,大成基金,博士研究生,工学,0
30382308,翟云飞,中国科学技术大学,光大保德信基金,博士研究生,统计与金融,1
30000000000000021448,程彧,加拿大英属哥伦比亚大学,汇丰晋信基金,硕士研究生,国际工商管理,1
30381341,邱杰,北京大学,前海开源基金,硕士研究生,经济学,1
30000000000000018931,张一格,中国人民银行研究生部,#N/A,硕士研究生,经济学,1
30382534,杨成,上海财经大学,中银基金,硕士研究生,管理学,1
30377392,蔡晓,中国科学院,民生加银基金,硕士研究生,微电子与固体电子学,0
30378935,黄维,北京大学,平安基金,硕士研究生,微电子学,0
30383011,张仲维,台湾政治大学,宝盈基金,硕士研究生,"经济学,国际贸易,国际经营与贸易学",1
30000000000000025365,腊博,梅西大学,兴业基金,硕士研究生,金融学,1
30000000000000025365,腊博,梅西大学,兴业基金,硕士研究生,金融学,1
30000000000000013404,马强,北京大学,长城基金,硕士研究生,"计算机系统结构,理学",0
30000000000000022188,罗安安,清华大学,南方基金,博士研究生,计算机科学与技术,0
30000000000000016030,王筱苓,清华大学,工银瑞信,硕士研究生,工商管理,1
30000000000000023739,关山,英国帝国理工大学,融通基金,硕士研究生,金融学,1
30382534,杨成,上海财经大学,中银基金,硕士研究生,管理学,1
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30000000000000021237,王大鹏,中山大学,摩根士丹利华鑫基金,博士研究生,金融学,1
30000000000000016591,赵耀,香港中文大学,红塔基金,硕士研究生,金融财务工商管理,1
30000000000000018377,张惠,合肥工业大学,华富基金,硕士研究生,产业经济学,1
30000000000000013685,吴达,伦敦政治经济学院,长盛基金,博士研究生,金融经济学,1
30382504,赵鹏飞,北京大学,汇添富基金,硕士研究生,经济学,1
30000000000000072235,纪文静,江苏大学,东证资管,硕士研究生,经济学,1
30381649,田汉卿,美国加州大学伯克利分校哈斯商学院,华泰柏瑞基金,MBA/EMBA,MBA,1
30382873,曾鸿,复旦大学,华泰柏瑞基金,硕士研究生,世界经济学,1
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30000000000000026574,刘格菘,中国人民银行研究生部,广发基金,博士研究生,经济学,1
30000000000000017049,郑可成,厦门大学,华安基金,硕士研究生,金融,1
30000000000000023779,何天翔,安徽大学,融通基金,硕士研究生,理学,0
30000000000000072235,纪文静,江苏大学,东证资管,硕士研究生,经济学,1
30378805,葛兰,美国西北大学,中欧基金,博士研究生,生物医学工程,0
30378602,房雷,哈尔滨工业大学,光大保德信基金,硕士研究生,概率论与数理统计,0
