Manager,NAME,Fund,CategoryID,Firm,Return,Year,age,size,dc
30000000000000016161,何肖颉,001008.OF,1,工银瑞信,-0.0925,1,7.931506849,1.34,0.641958 
30000000000000016564,张洋,000195.OF,4,工银瑞信,0.021547502,1,7.378082192,255.42,0.023077 
30382504,赵鹏飞,001725.OF,1,汇添富基金,-0.201618837,1,5.78630137,2024.33,0.023077 
30000000000000016842,刘伟林,001726.OF,1,汇添富基金,-0.305936073,1,7.084931507,900.88,0.264336 
30000000000000023475,倪明,001728.OF,4,银华基金,-0.228198859,1,7.350684932,240.72,0.264336 
30000000000000036697,范妍,001736.OF,1,圆信永丰基金,-0.19828156,1,7.180821918,1026.35,0.641958 
30380233,林英睿,001763.OF,4,广发基金,-0.129925453,1,6.043835616,1870.39,0.264336 
30379284,李炳智,001765.OF,4,前海开源基金,-0.049773756,1,5.934246575,0.28,0.264336 
30000000000000023275,王浩,001808.OF,4,银华基金,-0.309471366,1,7.123287671,123.37,0.198601 
30415976,周紫光,001809.OF,4,中信建投基金,-0.303469751,1,5.6,43.94,0.000699 
30000000000000024384,曹名长,001810.OF,4,中欧基金,-0.176753783,1,7.117808219,3057.79,0.126573 
30000000000000021922,曲扬,001102.OF,4,前海开源基金,-0.228646518,1,7.654794521,3408.78,0.264336 
30000000000000019278,李轩,001838.OF,4,国投瑞银基金,-0.261261261,1,7.084931507,782.24,0.264336 
30000000000000018234,陶灿,000592.OF,1,建信基金,-0.212074303,1,8.638356164,703.87,0.264336 
30000000000000021922,曲扬,001102.OF,4,前海开源基金,-0.101905551,1,7.654794521,1170.32,0.264336 
30000000000000021922,曲扬,001102.OF,4,前海开源基金,-0.070412518,1,7.654794521,53.92,0.264336 
30381067,孟亚强,001897.OF,4,九泰基金,-0.184343434,1,6.569863014,650.05,0.264336 
30000000000000020174,郑晓辉,000021.OF,4,华夏基金,-0.290983607,1,9.649315068,1111.81,0.023077 
30000000000000021025,黄文倩,001927.OF,4,华夏基金,-0.188560654,1,6.912328767,617.89,0.264336 
30000000000000016757,王健,001955.OF,4,中欧基金,-0.17862969,1,6.161643836,79.02,0.198601 
30382029,肖世源,001965.OF,4,圆信永丰基金,-0.151600753,1,5.531506849,678.6,0.198601 
30000000000000021922,曲扬,001102.OF,4,前海开源基金,-0.34670704,1,7.654794521,1517.24,0.264336 
30381784,曲径,001990.OF,4,中欧基金,-0.177968422,1,6.969863014,133.75,0.264336 
30000000000000016564,张洋,000195.OF,4,工银瑞信,0.008130081,1,7.378082192,459.98,0.023077 
30000000000000015803,郑迎迎,002015.OF,4,南方基金,0.050232558,1,5.394520548,558.08,0.023077 
30382128,闫沛贤,002027.OF,4,中加基金,0.03471434,1,7.01369863,1975.66,0.198601 
30000000000000019713,林晶,002031.OF,4,华夏基金,-0.121316306,1,5.821917808,863.47,0.264336 
30000000000000023671,余志勇,001470.OF,4,融通基金,0.021863118,1,7.550684932,1031.91,0.024476 
30000000000000018442,陈启明,002064.OF,4,华富基金,-0.235621521,1,5.652054795,43.65,0.641958 
30000000000000015888,过钧,002095.OF,4,博时基金,0.036095388,1,6.84109589,341.78,0.641958 
30000000000000018117,宫雪,002155.OF,4,国金基金,-0.123678339,1,5.301369863,9.56,0.641958 
30000000000000013841,李琪,002156.OF,4,长盛基金,-0.16737109,1,6.304109589,2.14,0.264336 
30000000000000021794,应帅,002160.OF,4,南方基金,-0.228652082,1,6.778082192,199.93,0.024476 
30000000000000014777,孙蓓琳,001280.OF,4,银华基金,-0.249781659,1,5.147945205,98.7,0.264336 
30000000000000021981,陈乐,002220.OF,4,南方基金,-0.14547118,1,5.005479452,352.74,0.641958 
30000000000000017340,刘宁,002222.OF,4,嘉实基金,0.017667845,1,6.734246575,208.54,0.264336 
30000000000000013404,马强,002227.OF,4,长城基金,0.048168007,1,6.715068493,612.77,0.264336 
30382517,张帆,002229.OF,1,华夏基金,-0.099301784,1,5.98630137,194.59,0.024476 
30000000000000015052,夏高,002236.OF,1,大成基金,-0.267806268,1,6.912328767,84.22,0.198601 
30382308,翟云飞,002305.OF,4,光大保德信基金,-0.280339806,1,6.909589041,58.24,0.641958 
30000000000000021448,程彧,002332.OF,1,汇丰晋信基金,-0.267410334,1,6.142465753,689.61,0.641958 
30381341,邱杰,001178.OF,1,前海开源基金,-0.038504673,1,7.62739726,842.64,0.264336 
30382534,杨成,001370.OF,4,中银基金,-0.015769944,1,7.276712329,570.04,0.198601 
30377392,蔡晓,002449.OF,4,民生加银基金,-0.274422735,1,6.621917808,103.01,#N/A
30378935,黄维,002450.OF,4,平安基金,-0.097246127,1,6.356164384,5.81,0.264336 
30383011,张仲维,000698.OF,4,宝盈基金,-0.202802968,1,6.279452055,134.84,0.023077 
30000000000000025365,腊博,002494.OF,4,兴业基金,-0.005560704,1,6.734246575,1260.47,0.264336 
30000000000000025365,腊博,002494.OF,4,兴业基金,-0.060197664,1,6.734246575,374.4,0.264336 
30000000000000022188,罗安安,002577.OF,4,南方基金,-0.172642762,1,5.046575342,226.07,0.264336 
30000000000000016030,王筱苓,001651.OF,1,工银瑞信,-0.120428189,1,7.408219178,267.66,0.198601 
30000000000000023739,关山,002605.OF,4,融通基金,-0.132660978,1,6.580821918,88.94,0.641958 
30382534,杨成,001370.OF,4,中银基金,0.034026465,1,7.276712329,745.38,0.198601 
30000000000000022183,孙伟,002656.OF,1,南方基金,-0.263346044,1,6.619178082,274.74,#N/A
30000000000000021237,王大鹏,002708.OF,4,摩根士丹利华鑫基金,-0.056956116,1,6.506849315,45,0.198601 
30000000000000016591,赵耀,002717.OF,4,红塔基金,-0.010481586,1,6.580821918,202.03,0.023077 
30000000000000018377,张惠,002728.OF,4,华富基金,0.064135021,1,6.317808219,133.04,0.024476 
30000000000000013685,吴达,002732.OF,4,长盛基金,-0.167669819,1,6.493150685,58.18,0.198601 
30382504,赵鹏飞,001725.OF,1,汇添富基金,-0.109456441,1,5.78630137,2289.1,0.023077 
30000000000000072235,纪文静,001202.OF,4,东证资管,-0.012963493,1,7.471232877,851.35,0.264336 
30381649,田汉卿,000172.OF,4,华泰柏瑞基金,0.024937174,1,9.419178082,354.34,0.198601 
30382873,田汉卿,002804.OF,4,华泰柏瑞基金,0.024937174,1,6.602739726,354.34,0.198601 
30000000000000022183,孙伟,002656.OF,1,南方基金,-0.31247981,1,6.619178082,86.09,#N/A
30000000000000026574,刘格菘,002939.OF,4,广发基金,-0.307553687,1,5.493150685,1923.66,0.264336 
30000000000000023779,何天翔,002955.OF,4,融通基金,-0.234927235,1,6.375342466,191.68,0.641958 
30000000000000072235,纪文静,001202.OF,4,东证资管,-0.034855224,1,7.471232877,1039.71,0.264336 
30378805,葛兰,003095.OF,4,中欧基金,-0.141935484,1,6.257534247,634.4,0.641958 
30378602,房雷,003117.OF,4,光大保德信基金,-0.011948529,1,5.816438356,1.85,0.641958 
30000000000000021601,孙鲁闽,003161.OF,4,南方基金,0.003431513,1,6.276712329,1048.88,0.264336 
30000000000000013841,李琪,002156.OF,4,长盛基金,-0.150681174,1,6.304109589,218.94,0.264336 
30000000000000016896,顾耀强,000762.OF,4,汇添富基金,0.015947467,1,5.8,752.9,0.641958 
30382070,吴国清,003304.OF,4,前海开源基金,-0.108928571,1,6.208219178,54.83,0.198601 
30382538,周户,003308.OF,4,中信建投基金,-0.138588576,1,5.934246575,25.06,0.000699 
30000000000000022604,朱志权,003333.OF,4,泰信基金,-0.356088757,1,6.030136986,76.33,0.000699 
30000000000000019017,何琦,003413.OF,4,华泰柏瑞基金,-0.226838811,1,5.479452055,41.43,0.641958 
30000000000000022104,吴剑毅,000326.OF,1,南方基金,-0.014299901,1,7.180821918,305.86,0.198601 
30000000000000021040,郝旭东,003561.OF,4,诺德基金,-0.069172932,1,5.852054795,77.71,0.641958 
