Stock,BM_Y1,BM_Y2,BM_Y3,BM_Y4,BM_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5
835184.BJ,0,0,0.642386667,0.573531823,0.908332482,0,0,1178.6899,1206.7858,642.192,0,0,-0.241583586,0.046975255,-0.451033259
835185.BJ,0,0,0.330430526,0.106577645,0.325798959,0,0,18765.02856,71846.85792,30309.93814,0,0,-0.075119617,2.855564925,-0.576415734
835207.BJ,0,0,0,0,0.63944796,0,0,0,0,545.7944,0,0,0,0,-0.154285714
835237.BJ,0,0,0,0,0.541728684,0,0,0,0,768.2148,0,0,0,0,-0.178217822
835305.BJ,0,0,0,0.359751706,0.638031636,0,0,0,2447.634551,1356.855281,0,0,0,-0.0755,-0.445646295
835368.BJ,0,0,0.157209948,0.104912903,0.263512472,0,0,12951.559,23785.03644,12090.61136,0,0,1.963842703,0.829284328,-0.49277871
835508.BJ,0,0,0.460228178,0.348669573,0.717334347,0,0,483.5,632.5,309.5,0,0,-0.031062124,0.336818511,-0.504310672
835640.BJ,0,0,0.306287047,0.155991141,0.248912405,0,0,1822.83888,4111.2432,3026.17536,0,0,0.21679198,1.277509784,-0.254505205
835670.BJ,0,0,0.291291398,0.140836109,0.276661794,0,0,833.4898607,1807.09172,868.572032,0,0,0.0208,1.18010721,-0.514336908
835892.BJ,0,0,0,0,0.532992785,0,0,0,0,1127.88269,0,0,0,0,-0.27125
835985.BJ,0,0,0,0,0.490954289,0,0,0,0,2553.17865,0,0,0,0,-0.08839779
836077.BJ,0,0,0,0.046752869,0.098853939,0,0,0,18273.79542,15033.26361,0,0,0,7.823076923,-0.177332171
836149.BJ,0,0,0.424238038,0.282363132,0.594112276,0,0,461.5698,704.3889,287.6562,0,0,0.092830882,0.548561817,-0.587825131
836239.BJ,0,0,0,0.091238422,0.340390539,0,0,0,10733.43692,2974.312179,0,0,0,4.903067759,-0.71864964
836247.BJ,0,0,0,0,0.662231036,0,0,0,0,598.481388,0,0,0,0,-0.1975
836260.BJ,0,0,0,0.382016075,0.715337358,0,0,0,1001.84625,561.241,0,0,0,0.43866171,-0.41965385
836263.BJ,0,0,0.663092789,0.576953442,0.676789175,0,0,702.5992,806.1696,708.1976,0,0,-0.251371553,0.184356972,-0.087443056
836270.BJ,0,0,0,0,0.653443825,0,0,0,0,567.1059,0,0,0,0,-0.313818565
836395.BJ,0,0,0,0,0.3424431,0,0,0,0,636.342,0,0,0,0,-0.144495882
836414.BJ,0,0,0,0,0.430495238,0,0,0,0,684.276842,0,0,0,0,-0.184147318
836433.BJ,0,0,0.59412756,0.324543323,0.54066576,0,0,870.0134462,1654.575195,892.679101,0,0,-0.249084249,0.95908,-0.423884636
836675.BJ,0,0,0.458417312,0.328312391,0.664810919,0,0,1022.432,1572.096,812.77456,0,0,-0.002777778,0.54913649,-0.469410435
836720.BJ,0,0,0,0.159017801,0.378463981,0,0,0,2499.71085,1116.398624,0,0,0,1.6,-0.557482491
836807.BJ,0,0,0,0,0.914402713,0,0,0,0,1040.3536,0,0,0,0,-0.182857143
836826.BJ,0,0,0,0.164926809,0.342929505,0,0,0,1297.317331,905.9489146,0,0,0,3.277547414,-0.361154812
836871.BJ,0,0,0,0,0.644945145,0,0,0,0,360.5769422,0,0,0,0,-0.126785714
836892.BJ,0,0,0,0.258018114,0.449261704,0,0,0,1307.340501,857.7131126,0,0,0,0.222857143,-0.324697196
836942.BJ,0,0,0,0,0.652099047,0,0,0,0,649.453989,0,0,0,0,-0.254225352
836957.BJ,0,0,0,0,0.682600247,0,0,0,0,581.5732303,0,0,0,0,-0.166153846
837046.BJ,0,0,0,0,0.623008441,0,0,0,0,365.585,0,0,0,0,0.012
837092.BJ,0,0,0,0.292111249,0.547290473,0,0,0,1342.52488,656.1752,0,0,0,0.751875,-0.501755976
837212.BJ,0,0,0,0.207143964,0.544104671,0,0,0,1803.7,729.968,0,0,0,1.660406886,-0.588049882
837242.BJ,0,0,0.66533856,0.524288875,0.879850275,0,0,587.8572,802.93356,530.94888,0,0,-0.244536055,0.400427381,-0.328345921
837344.BJ,0,0,0,0.162862145,0.277258277,0,0,0,3335.1578,2073.2062,0,0,0,0.1072472,-0.378378378
837821.BJ,0,0,0,0,0.817465482,0,0,0,0,598.6269949,0,0,0,0,-0.214814815
838030.BJ,0,0,0.706689392,0.411249291,0.871125687,0,0,616.9968995,1124.901593,557.9798047,0,0,-0.041666667,0.881423414,-0.49846868
838163.BJ,0,0,0.435145208,0.367343696,0.620148372,0,0,860.58,1025.64,674.1,0,0,-0.1849642,0.231607028,-0.342751843
838171.BJ,0,0,0,0,0.460580968,0,0,0,0,962.1437,0,0,0,0,0.155714286
838227.BJ,0,0,0,0,0.556105888,0,0,0,0,728.20605,0,0,0,0,-0.252
838262.BJ,0,0,0,0,0.595036027,0,0,0,0,496.204408,0,0,0,0,-0.066666667
838275.BJ,0,0,0,0.225965939,0.445604459,0,0,0,1165.218152,522.504976,0,0,0,1.0774752,-0.518422186
838402.BJ,0,0,0,0,0.302012868,0,0,0,0,4428.384088,0,0,0,0,1.409893993
838670.BJ,0,0,0,0,0.403568147,0,0,0,0,1135.65,0,0,0,0,-0.12631225
838810.BJ,0,0,0,0,0.494127944,0,0,0,0,570.605,0,0,0,0,-0.167
838924.BJ,0,0,0,0.247547816,0.533723184,0,0,0,1017.58,473.93,0,0,0,1.113793103,-0.530718108
838971.BJ,0,0,0,0,0.468590107,0,0,0,0,933.5520216,0,0,0,0,-0.242282507
839167.BJ,0,0,0.169068158,0.156114827,0.320208293,0,0,1719.13,2170.7532,1427.7192,0,0,1.942043222,0.266562771,-0.375594003
839680.BJ,0,0,0,0.409242351,0.746565316,0,0,0,1402.977906,826.108767,0,0,0,0.709387755,-0.406464183
839725.BJ,0,0,0,0,0.365015494,0,0,0,0,1609.712,0,0,0,0,0.246607239
839729.BJ,0,0,0.228880767,0.170895325,0.315576493,0,0,3024.032,4127.585,2205.9345,0,0,0.295850067,0.396672004,-0.449476358
839790.BJ,0,0,0,0,0.754988859,0,0,0,0,442.215312,0,0,0,0,-0.3
839946.BJ,0,0,0,0.353237732,0.689742407,0,0,0,904.4359681,406.3212334,0,0,0,0.647242857,-0.526531493
870199.BJ,0,0,0,0,0.429297537,0,0,0,0,1206.52,0,0,0,0,-0.220125786
870204.BJ,0,0,0,0,1.052700036,0,0,0,0,413.4157304,0,0,0,0,-0.306205032
870299.BJ,0,0,0,0,0.706149092,0,0,0,0,390.1731651,0,0,0,0,-0.237322759
870357.BJ,0,0,0,0,0.494916364,0,0,0,0,717.64,0,0,0,0,-0.167857143
870436.BJ,0,0,0,0.250088743,0.680091679,0,0,0,1942.42656,644.32632,0,0,0,1.368663594,-0.659132685
870508.BJ,0,0,0,0,0.807985241,0,0,0,0,543.3552,0,0,0,0,-0.127
870866.BJ,0,0,0,0,0.649881346,0,0,0,0,1120.880698,0,0,0,0,-0.2225
871245.BJ,0,0,0,0,0.586604396,0,0,0,0,526.5,0,0,0,0,0.123735537
871396.BJ,0,0,0.554676964,0.337638304,0.678338446,0,0,419.965296,749.9555853,394.3125844,0,0,0.006876228,0.821333854,-0.462316974
871553.BJ,0,0,0,0.384722678,0.695849492,0,0,0,856.3951416,479.9261364,0,0,0,0.655555556,-0.425138926
871634.BJ,0,0,0,0,0.497799466,0,0,0,0,486.1116,0,0,0,0,-0.1875
871642.BJ,0,0,0,0.178032538,0.336946,0,0,0,1369.928682,776.4903822,0,0,0,1.176470588,-0.42545627
871753.BJ,0,0,0,0,0.679383426,0,0,0,0,599.9501922,0,0,0,0,-0.263
871857.BJ,0,0,0,0,0.566156442,0,0,0,0,643.8622224,0,0,0,0,-0.26311
871970.BJ,0,0,0,0,0.784389404,0,0,0,0,456.6336,0,0,0,0,-0.184
871981.BJ,0,0,0,0.208292259,0.561076843,0,0,0,2353.0296,933.67428,0,0,0,1.351528384,-0.600284053
872190.BJ,0,0,0,0,0.684492496,0,0,0,0,1183.125019,0,0,0,0,-0.2428
872351.BJ,0,0,0,0,0.87052419,0,0,0,0,522.2060655,0,0,0,0,-0.28375
872374.BJ,0,0,0,0,0.330149712,0,0,0,0,721.4343,0,0,0,0,-0.115
872392.BJ,0,0,0,0,0.65385203,0,0,0,0,457.86,0,0,0,0,-0.025
872808.BJ,0,0,0,0,0.264402279,0,0,0,0,2211.0474,0,0,0,0,-0.035763889
872925.BJ,0,0,0,0.271359837,0.512109799,0,0,0,1230.066,714.4875,0,0,0,0.506547619,-0.41994271
873001.BJ,0,0,0,0,0.678428498,0,0,0,0,1100.178421,0,0,0,0,-0.159624413
873122.BJ,0,0,0,0,0.313513432,0,0,0,0,1045.47722,0,0,0,0,0.44979
873169.BJ,0,0,0,0,0.604198231,0,0,0,0,499.8064855,0,0,0,0,0.009318333
873223.BJ,0,0,0,0,0.642417716,0,0,0,0,504.88485,0,0,0,0,0
873305.BJ,0,0,0,0,0.660354769,0,0,0,0,453.56828,0,0,0,0,-0.136518771
873339.BJ,0,0,0,0,0.514979952,0,0,0,0,1103.221038,0,0,0,0,-0.202229299
873527.BJ,0,0,0,0,0.783530244,0,0,0,0,483.343735,0,0,0,0,-0.267515924
600000.SH,1.639358123,1.525429699,2.246154459,2.676024741,3.265909295,287650.3879,363085.2345,284128.7238,250373.9931,213683.828,-0.213353455,0.301500714,-0.174891512,-0.074301136,-0.099089332
