Stock,证券名称,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,PB_Y1,PB_Y2,PB_Y3,PB_Y4,PB_Y5
833266.BJ,生物谷,0,0,-29.35,27.57,-54.34,655.05,972.78,780.56,0,0,0.02,0.01,0.01,0.02,0.02
833346.BJ,威贸电子,0,0,0,0,-24.18,197.87,0,0,0,0,0.09,0.05,0.04,0.03,0.04
833394.BJ,民士达,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.12,0.07
833427.BJ,华维设计,0,0,0,33.29,-40.13,190.6,221.31,0,0,0,0.01,0,0,0.09,0.03
833429.BJ,康比特,0,0,0,0,-91.68,332.47,0,0,0,0,0.03,0.03,0.03,0.03,0.03
833454.BJ,同心传动,0,0,0,698790.45,-55.71,348.96,404,0,0,0,0.01,0.01,0.02,0.02,0.08
833509.BJ,同惠电子,0,0,0,254.37,-32.15,730.52,722.98,0,0,0,0.04,0.03,0.05,0.13,0.08
833523.BJ,德瑞锂电,0,0,0,559.05,-56.91,536.68,1057.33,0,0,0,0.02,0.01,0.03,0.04,0.06
833533.BJ,骏创科技,0,0,0,0,60.88,307.1,0,0,0,0,0.05,0.04,0.04,0.04,0.06
833575.BJ,康乐卫士,0,0,0,0,0,0,0,0,0,0,0.13,0.17,0.17,0.76,0.27
833580.BJ,科创新材,0,0,0,0,-11.7,101.18,0,0,0,0,0.01,0,0.01,0.02,0.02
833781.BJ,瑞奇智造,0,0,0,0,-99.2,511.38,0,0,0,0,0.01,0.01,0.01,0.01,0.03
833819.BJ,颖泰生物,0,0,1.28,13.34,-8.1,6390.69,7163.86,1525.99,0,0,0.02,0.02,0.02,0.01,0.02
833873.BJ,中设咨询,0,0,0,1562.68,-49.64,378.68,500.66,0,0,0,0.02,0.02,0.02,0.03,0.04
833914.BJ,远航精密,0,0,0,0,-94.74,585.12,0,0,0,0,0.01,0.01,0.02,0.02,0.03
833943.BJ,优机股份,0,0,0,0,12.82,109.24,0,0,0,0,0,0.01,0.01,0.01,0.03
834014.BJ,特瑞斯,0,0,0,0,-99.31,368.05,0,0,0,0,0.03,0.02,0.01,0.02,0.05
834021.BJ,流金科技,0,0,-47.84,76.95,-45.37,701.22,1114.18,665.7,0,0,0.04,0.01,0.02,0.02,0.03
834033.BJ,康普化学,0,0,0,0,11419053.96,623.99,0,0,0,0,0.04,0.03,0.03,0.03,0.05
834062.BJ,科润智控,0,0,0,0,53.41,515.39,0,0,0,0,0.03,0.01,0.01,0.02,0.02
834261.BJ,一诺威,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.05
834407.BJ,驰诚股份,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.04,0.05
834415.BJ,恒拓开源,0,0,-57.04,15.37,-30.25,319.78,441.28,331.22,0,0,0.07,0.01,0.02,0.01,0.02
834475.BJ,三友科技,0,0,89.08,66.37,-40.04,226.93,327.86,171.47,0,0,0.01,0.02,0.02,0.02,0.04
834599.BJ,同力股份,0,0,0,0.9,-21.93,1414.48,2062.18,0,0,0,0,0.01,0.02,0.05,0.03
834639.BJ,晨光电缆,0,0,0,0,-10.06,288,0,0,0,0,0.01,0,0.01,0.01,0.02
834682.BJ,球冠电缆,0,0,-37.64,33.03,-20.86,409.26,564.33,443.32,0,0,0.03,0.01,0.01,0.01,0.02
